LSM_01	SRM_115	SBL_100	VISMINFL	VISMIN_C	ED_05	REP_20	VBR_10	CXRFLAG	CHH001_C	MARSTAT	WGHT_PER	SCF_101	SCF100_C
7	2	3	2	10	7	2	1	2	0	6	899.1245	6	5
9	1	1	1	7	4	2	1	2	0	2	22.9626	6	3
10	1	2	2	10	2	2	1	1	2	1	2521.8608	6	2
8	3	3	2	10	4	2	9	2	0	5	775.8581	6	5
9	3	2	2	10	4	2	1	2	0	3	2498.0996	6	12
5	3	9	1	2	1	2	1	2	0	6	792.7368	6	2
7	2	1	1	5	2	2	1	1	0	5	10	6	2
10	1	3	2	10	6	2	1	2	0	1	1907.154	6	0
8	3	2	2	10	2	2	1	2	0	2	10	6	7
5	2	2	1	6	1	2	2	2	0	1	10	6	0
8	2	2	2	10	6	2	2	2	0	2	5230.3815	6	3
10	1	3	2	10	6	2	1	1	2	1	2118.4726	2	1
8	3	1	2	10	1	2	1	2	0	6	1129.2748	6	2
10	1	3	1	6	1	2	1	2	0	1	10	6	2
10	1	2	2	10	3	2	1	2	0	1	467.5675	6	8
7	4	2	2	10	1	2	1	2	0	6	1336.8537	6	0
10	1	2	2	10	6	2	1	2	0	1	2993.4813	6	4
9	1	2	1	5	7	2	1	2	0	3	10	6	2
5	3	3	2	10	5	2	1	2	0	4	945.0371	6	2
5	1	2	2	10	3	2	1	2	0	3	152.2969	6	4
8	1	2	1	8	7	2	1	2	0	1	10	6	4
8	2	2	2	10	6	2	1	2	0	2	924.8171	6	2
8	1	2	2	10	4	2	1	2	0	1	421.3809	6	4
99	9	3	2	10	2	2	1	2	0	5	1326.6999	1	1
9	2	5	2	10	2	2	1	2	0	5	331.0002	6	2
4	3	1	2	10	4	2	1	2	0	3	398.1768	6	3
8	2	1	2	10	6	2	1	2	0	3	1031.5473	6	3
8	3	1	1	6	7	9	1	2	0	3	10	6	8
10	1	2	2	10	5	2	2	2	0	4	1985.6993	6	10
8	4	3	1	6	6	2	1	1	0	1	10.7439	6	10
7	2	2	2	10	4	2	1	1	2	3	44.9891	6	5
8	2	1	2	10	4	2	9	2	0	1	785.8827	6	2
7	3	4	2	10	6	2	1	2	0	6	2865.7368	6	3
8	2	1	2	10	4	2	1	2	0	5	829.7251	6	8
6	3	2	1	5	2	2	2	2	0	6	25.7616	6	5
8	1	2	2	10	4	2	1	1	1	1	536.948	6	3
10	3	2	2	10	4	2	1	1	1	6	899.289	6	2
8	2	2	1	6	6	2	2	1	1	1	5100.9747	6	10
7	3	3	2	10	4	2	1	2	0	6	2485.7817	6	7
7	2	2	2	10	4	2	1	2	0	2	408.9392	1	1
8	3	3	2	10	4	2	1	2	0	6	10	6	2
7	4	3	1	6	4	2	1	1	0	4	10.0171	1	1
4	4	3	2	10	2	2	1	2	0	4	5209.103	6	3
9	2	1	2	10	2	2	9	2	0	3	167.0176	6	3
9	2	2	2	10	4	2	1	1	0	2	2104.8992	6	3
7	2	2	2	10	7	2	1	2	0	6	552.0954	6	5
6	3	2	2	10	4	2	1	1	2	6	81.5237	2	1
9	1	2	1	8	2	2	2	1	3	1	25.1369	6	2
9	2	2	1	2	1	9	1	1	0	1	10	6	999
7	4	1	2	10	2	2	1	2	0	1	727.6826	6	10
7	2	1	1	8	7	2	1	2	0	6	10	6	4
8	2	5	2	10	2	2	1	2	0	1	1703.13	6	3
8	2	1	1	5	3	2	1	1	1	1	10	1	1
8	4	1	2	10	2	2	1	2	0	1	421.9619	6	3
8	1	2	2	10	3	2	1	2	0	6	907.0536	6	7
6	3	4	2	10	4	2	1	2	0	6	7391.601	6	6
7	2	2	2	10	7	2	1	2	0	6	2548.7375	6	3
8	3	2	2	10	1	2	1	2	0	3	347.6073	6	0
8	3	2	1	2	1	2	6	2	2	6	3250.6091	6	6
9	2	1	1	6	2	2	6	2	0	6	16.2796	6	4
5	5	3	2	10	6	2	1	1	1	1	10	1	1
6	3	2	2	10	3	2	1	2	0	3	10	6	3
