PRSPGNDR	PPROV	PVISMIN	PHHSIZE	PHHTTINC	PLIS_05	PGEOGR	PEMPL	PDWS_10I	PEHA_05A	PEHA_05B	PDWLTYPE	PDWS_05	PDWS_10C	PDV_SHCO	PCOS_05	PDCT_05
2	"13"	9	99	26000	5	"06"	2	2	2	2	"99"	2	3	300	4	1
2	"35"	2	1	60000	4	"13"	2	1	2	2	"05"	3	1	800	7	2
1	"11"	9	99	240000	7	"02"	1	1	1	2	"01"	3	2	2200	8	1
2	"46"	9	2	70000	99	"18"	2	1	2	2	"06"	3	1	1400	8	2
1	"13"	9	99	99999999999	2	"05"	1	3	2	2	"02"	2	2	9999999.99	4	1
1	"59"	2	2	52500	6	"27"	1	4	1	1	"01"	2	4	1800	2	1
1	"59"	2	4	60000	6	"25"	1	2	1	1	"05"	1	4	2300	1	1
1	"10"	9	2	50000	9	"01"	2	1	2	2	"01"	3	1	200	9	1
1	"24"	2	2	55000	8	"10"	1	2	2	2	"04"	3	1	500	8	2
2	"24"	9	3	99999999999	9	"09"	9	1	2	2	"01"	3	1	9999999.99	9	1
2	"47"	9	2	100000	8	"21"	2	2	2	2	"01"	3	4	700	5	1
2	"24"	2	1	33000	7	"08"	1	3	2	2	"04"	2	2	800	6	2
2	"13"	9	2	46000	5	"06"	2	2	2	2	"99"	3	2	100	7	1
1	"12"	9	1	19000	3	"04"	9	2	1	1	"99"	1	2	700	6	2
2	"59"	2	2	92500	2	"26"	1	3	1	1	"06"	1	4	1500	2	2
1	"12"	9	2	90000	8	"04"	2	2	2	2	"03"	3	2	2000	5	2
2	"12"	9	2	57500	6	"04"	9	4	2	2	"01"	2	1	9999999.99	6	9
1	"46"	9	2	200000	9	"17"	9	1	2	2	"01"	3	1	1900	9	1
2	"11"	9	2	65000	9	"02"	2	1	2	2	"99"	3	1	900	9	1
2	"47"	9	1	28000	5	"21"	2	2	2	2	"05"	3	1	700	4	2
2	"24"	2	1	22000	5	"07"	2	2	2	2	"06"	3	2	400	7	2
2	"48"	9	2	125000	1	"23"	1	2	2	2	"01"	1	2	9999999.99	1	1
2	"35"	2	2	97500	9	"11"	1	3	2	2	"06"	3	3	1600	9	2
2	"13"	9	4	105000	3	"06"	1	2	2	2	"01"	2	2	1000	4	2
2	"59"	9	99	99999999999	5	"26"	9	4	2	1	"03"	2	2	9999999.99	6	2
2	"11"	9	1	20000	7	"02"	2	2	2	2	"06"	3	1	9999999.99	7	2
2	"46"	9	1	27000	7	"18"	2	1	2	2	"05"	3	2	800	7	2
